Source,Target,Weight
NED,ROBERT,211.0
DAENERYS,JORAH,594.0
JON,SAM,415.0
LITTLEFINGER,NED,118.0
NED,VARYS,104.0
DAENERYS,DROGO,113.0
ARYA,NED,110.0
CATELYN,ROBB,232.0
BRONN,TYRION,389.0
CERSEI,NED,100.0
CERSEI,ROBERT,98.0
LITTLEFINGER,VARYS,98.0
SHAE,TYRION,324.0
CATELYN,NED,86.0
JOFFREY,SANSA,187.0
NED,PYCELLE,68.0
DAENERYS,VISERYS,75.0
SANSA,SEPTA_MORDANE,64.0
TYRION,TYWIN,306.0
JEOR,JON,111.0
ROBB,THEON,89.0
CERSEI,JOFFREY,217.0
ARYA,SANSA,280.0
BRAN,MAESTER_LUWIN,84.0
JAIME,NED,62.0
NED,SANSA,96.0
BRAN,ROBB,59.0
LORAS,RENLY,73.0
CERSEI,JAIME,509.0
DAENERYS,MIRRI_MAZ_DUUR,45.0
JON,TYRION,268.0
ARYA,SYRIO_FOREL,48.0
JORY_CASSEL,NED,44.0
JORAH,VISERYS,43.0
JON,PYP,54.0
CATELYN,TYRION,54.0
ROS,THEON,40.0
JOFFREY,NED,56.0
CERSEI,SANSA,144.0
GRENN,PYP,44.0
CATELYN,WALDER,53.0
DAENERYS,DOREAH,54.0
JAIME,TYRION,358.0
JAIME,TYWIN,148.0
BENJEN,JON,40.0
DAENERYS,IRRI,47.0
GREATJON_UMBER,ROBB,31.0
MORD,TYRION,31.0
CATELYN,LYSA,41.0
DOREAH,VISERYS,30.0
JORAH,RAKHARO,30.0
LYSA,ROBIN,47.0
LYSA,TYRION,37.0
NED,RENLY,30.0
PYP,SAM,69.0
RENLY,ROBERT,35.0
BRAN,NED,61.0
BRAN,OSHA,153.0
JON,NED,79.0
BRAN,CATELYN,44.0
CATELYN,JAIME,70.0
CATELYN,RODRIK,28.0
DAENERYS,QOTHO,28.0
JOFFREY,ROBERT,37.0
JON,MAESTER_AEMON,55.0
DROGO,VISERYS,27.0
JAIME,JORY_CASSEL,27.0
BRAN,THEON,107.0
CATELYN,LITTLEFINGER,64.0
CATELYN,MAESTER_LUWIN,26.0
BARRISTAN,NED,25.0
ILLYRIO,VISERYS,25.0
JON,ROBB,35.0
OSHA,THEON,61.0
ARYA,JOFFREY,47.0
GRENN,JON,82.0
NED,ROBB,45.0
BARRISTAN,ROBERT,27.0
CATELYN,CERSEI,26.0
LITTLEFINGER,SANSA,416.0
SHAGGA,TYRION,22.0
TYRION,YOREN,22.0
ALLISER_THORNE,JON,133.0
ARYA,JON,99.0
DROGO,JORAH,22.0
JAIME,ROBERT,23.0
BRAN,JON,82.0
DAENERYS,WINE_MERCHANT,19.0
HOUND,SANSA,73.0
LITTLEFINGER,PYCELLE,27.0
LITTLEFINGER,ROS,35.0
THEON,TYRION,49.0
ALLISER_THORNE,SAM,41.0
ARYA,YOREN,38.0
CERSEI,TYRION,442.0
BENJEN,TYRION,17.0
DAENERYS,RAKHARO,29.0
JEOR,SAM,43.0
LITTLEFINGER,RENLY,39.0
MAESTER_LUWIN,ROBB,17.0
ROBERT,SANSA,19.0
ROS,TYRION,20.0
CATELYN,THEON,16.0
GRENN,SAM,75.0
HOUND,JOFFREY,73.0
ROBB,TYRION,21.0
BRAN,TYRION,72.0
CATELYN,ROBERT,15.0
JEOR,TYRION,19.0
JOFFREY,TYRION,200.0
JOFFREY,VARYS,28.0
LANCEL,ROBERT,15.0
MIRRI_MAZ_DUUR,QOTHO,15.0
NED,YOREN,15.0
PYCELLE,VARYS,37.0
BENJEN,NED,24.0
BRAN,RICKON,82.0
CATELYN,JON,16.0
CATELYN,SANSA,39.0
JOFFREY,MARILLION,14.0
KEVAN,TYRION,14.0
LITTLEFINGER,ROBERT,14.0
BARRISTAN,CERSEI,15.0
CATELYN,VARDIS_EGEN,13.0
CERSEI,VARYS,56.0
DAENERYS,RHAEGO,17.0
JANOS,NED,13.0
JOFFREY,PYCELLE,26.0
MAESTER_LUWIN,THEON,61.0
NED,THEON,20.0
PYCELLE,SANSA,18.0
GENDRY,NED,14.0
HOT_PIE,LOMMY_GREENHANDS,12.0
JOFFREY,LITTLEFINGER,26.0
JOFFREY,MERYN_TRANT,31.0
JOFFREY,ROBB,31.0
JON_ARRYN,NED,15.0
